ablation,n_features,mae,rmse,r2
Full (LAB+WEAR),43,1.02686934609271,1.6888885880231046,0.6173458685341318
- VO2 / ventilation,29,1.0226688337396828,1.6719467003883697,0.6249844625806205
- RER / metabolic,36,1.0993368108530828,1.7409948886971338,0.593370018601117
- HR derivatives,39,1.0621272101147328,1.674248573974687,0.623951137060181
- HRV (LF/HF),39,1.1583597470753986,1.800326628306694,0.565182500073071
- Gait features,38,0.9930073089221069,1.658214149439222,0.6311195511136805
- Cumulative features,39,1.0378548561611578,1.6955996263791229,0.6142987655567698
- Subject-relative,39,1.0445677728070974,1.6895013316972607,0.6170681575781806
WEAR-only,22,1.061839739584211,1.7010275890223636,0.6118253952679502
P (HR only),1,1.4455589513766505,2.2769862158267635,0.304455040807723
