fold,subject_held_out,n_test,mae_pinn,mae_residual
0,2,9,1.0936320315466985,1.1197726903858805
1,3,8,0.6730847096443175,0.756845340612162
2,4,4,1.1121020007133484,0.9551715746731664
3,5,4,1.5124488961696625,1.3905649903828237
4,6,8,3.0447021204233167,2.7933207974838306
5,7,6,1.293504804770152,1.31235774671884
6,8,5,1.489530689239502,1.25682629040601
7,9,9,2.113038288222419,2.214067319955496
8,10,6,1.032881559530894,1.2060664959393688
9,11,9,1.2901192850536771,1.2063664032836259
10,12,6,3.6848830350240065,3.8440548038795064
11,13,7,1.5579686301095141,1.5381296342403783
12,14,4,2.169580087661743,2.1015226573971644
13,15,9,3.0677464135487877,3.0836059913354728
14,16,7,1.036799582072667,0.9928957131232959
15,17,5,3.7908816471099853,3.7888283783779477
16,18,7,2.0641427775791708,2.075857708351361
17,19,10,3.8473104000091554,3.823122731802054
18,20,9,1.2088640869988339,1.0409245883827927
